species_lims_code,lims_code,description
DOG,DREVER,Drever
DOG,DUNKER_HOUND,Dunker Hound
DOG,ELKHOUND,Elkhound
DOG,ENGLISH_BULL_TERRIER,English Bull Terrier
DOG,ENGLISH_BULLDOG,English Bulldog
DOG,ENGLISH_COCKER_SPANIEL,English Cocker Spaniel
DOG,ENGLISH_FOXHOUND,English Foxhound
DOG,ENGLISH_SETTER,English Setter
DOG,ENGLISH_SHEPHERD,English Shepherd
DOG,ENGLISH_SPRINGER_SPANIEL,English Springer Spaniel
DOG,ENGLISH_TOY_TERRIER,English Toy Terrier
DOG,ENTLEBUCHER_MOUNTAIN,Entlebucher Mountain Dog
DOG,EPAGNEUL_BRETON,Epagneul Breton Spaniel (Brittany/Breton Spaniel)
DOG,ESKIMO_DOG,Eskimo Dog
DOG,ESTRELA_MOUNTAIN_DOG,Estrela Mountain Dog
DOG,EURASIER,Eurasier
DOG,FIELD_SPANIEL,Field Spaniel
DOG,FILA_BRASILEIRO,Fila Brasileiro Dog
DOG,FINNISH_HOUND,Finnish Hound
DOG,LAPPHUND,Finnish Lapphund
DOG,FINNISH_SPITZ,Finnish Spitz
DOG,FLAT_COAT_RETRIEVER,Flat-coated Retriever
DOG,FOX_TERRIER,Fox Terrier
DOG,FOXHOUND,Foxhound
DOG,FRENCH_BULLDOG,French Bulldog
DOG,GABONESE-SHEPHERD,Gabonese Shepherd
DOG,GERMAN_HUNT_TERRIER,German Hunt Terrier
DOG,GERMAN_LONG_HAIRED_POINTER,German Long-haired Pointer
DOG,GERMAN_PINSCHER,German Pinscher
DOG,GERMAN_SHEPHERD_DOG,German Shepherd Dog (Alsatian)
DOG,GERMAN_SHORT_HAIRED_POINTER,German Short-haired Pointer
DOG,GERMAN-SHORT-HAIRED-POINTER,German Short-haired Pointer
DOG,GERMAN_SPITZ,German Spitz
DOG,GERMAN_SPITZ_KLEIN,German Spitz (Klein)
DOG,GERMAN_SPITZ_MITTEL,German Spitz (Mittel)
DOG,GERMAN_WIRE_HAIRED_POINTER,German Wire-haired Pointer
DOG,GIANT_SCHNAUZER,Giant Schnauzer
DOG,GLEN_OF_IMAAL_TERRIER,Glen of Imaal Terrier
DOG,GOLDEN_RETRIEVER,Golden Retriever
DOG,GORDON_SETTER,Gordon Setter
DOG,GRAND_BLEU_GASCOGNE,Grand Bleu De Gascogne
DOG,GREAT_DANE,Great Dane
DOG,GREATER_SWISS_MOUNTAIN,Greater Swiss Mountain Dog
DOG,GREENLAND_DOG,Greenland Dog
DOG,GREYHOUND,Greyhound
DOG,GRIFFON,Griffon
DOG,GRIFFON_BRUXELLOIS,Griffon Bruxellois
DOG,HALDEN_HOUND,Halden Hound
DOG,HAMILTON_HOUND,Hamilton Hound (Hamiltonstovare / Haldenstovare)
DOG,HARRIER,Harrier
DOG,HAVANESE,Havanese
DOG,HOLLANDSE_HERDER,Hollandse Herder
DOG,HOVAWART,Hovawart
DOG,HUNGARIAN_KUVASZ,Hungarian Kuvasz
DOG,HUNGARIAN_PULI,Hungarian Puli
DOG,HUNGARIAN_VIZSLA,Hungarian Vizsla
DOG,HUNGARIAN_WIRE_VIZLA,Hungarian Wirehaired Vizla
DOG,HUSKY,Husky
DOG,HUSKY-MIXED-BREED,Husky Mixed Breed
DOG,HYGEN_HOUND,Hygen Hound
DOG,IBIZAN_HOUND,Ibizan Hound
DOG,ICELAND_DOG,Iceland Dog
DOG,IRISH_RED_WHITE_SETTER,Irish Red and White Setter
DOG,IRISH_SETTER,Irish Setter
DOG,IRISH_TERRIER,Irish Terrier
DOG,IRISH_WATER_SPANIEL,Irish Water Spaniel
DOG,IRISH_WOLFHOUND,Irish Wolfhound
DOG,ITALIAN_GREYHOUND,Italian Greyhound
DOG,ITALIAN_SPINONE,Italian Spinone
DOG,JACK_RUSSELL_TERRIER,Jack Russell Terrier
DOG,JAPANESE_AKITA,Japanese Akita
DOG,JAPANESE_CHIN,Japanese Chin
DOG,JAPANESE_SHIBA_INU,Japanese Shiba Inu
DOG,JAPANESE_SPITZ,Japanese Spitz
DOG,JAPANESE_TOSA,Japanese Tosa
DOG,KARELIAN_BEAR_DOG,Karelian Bear Dog
DOG,KEESHUND,Keeshund
DOG,KERRY_BLUE_TERRIER,Kerry Blue Terrier
DOG,KING_CHARLES_SPANIEL,King Charles Spaniel
DOG,KOMONDOR,Komondor
DOG,KOOIKERHONDJE,Kooikerhondje
DOG,KOPIKERHENGE,Kopikerhenge
DOG,KOREAN_JONDO,Korean Jindo
DOG,KORTHALS_GRIFFON,Korthals Griffon
DOG,KROMFORHLANDER,Kromforhlander
DOG,KUNMING-DOG,Kunming Dog
DOG,LABRADOODLE,Labradoodle
DOG,LABRADOR_CROSS,Labrador Cross
DOG,LABRADOR_RETRIEVER,Labrador Retriever
DOG,LAGOTTO_ROMAGNOLO,Lagotto Romagnolo
DOG,LAKELAND_TERRIER,Lakeland Terrier
DOG,LANCASHIRE_HEELER,Lancashire Heeler
DOG,LAPPISH_VALLHUND,Lappish Vallhund
DOG,LARGE_MUNSTERLANDER,Large Munsterlander
DOG,LEONBERGER,Leonberger
DOG,LHASA_APSO,Lhasa Apso
DOG,LOWCHEN,Lowchen (Little Lion Dog)
DOG,LUNDEHUND,Lundehund
DOG,LURCHER,Lurcher
DOG,MALAMUTE,Malamute
DOG,MALTESE,Maltese
DOG,MALTESE_CROSS,Maltese Cross (Shih Tzu)
DOG,MANCHESTER_TERRIER,Manchester Terrier
DOG,MAREMMA_SHEEPDOG,Maremma Sheepdog
DOG,MASTIFF,Mastiff
DOG,MEDIUM_PINSCHER,Medium Pinscher
DOG,MEXICAN_HAIRLESS_INT,Mexican Hairless (Intermediate)
DOG,MEXICAN_HAIRLESS_MINI,Mexican Hairless (Miniature)
DOG,MEXICAN_HAIRLESS,Mexican Hairless (Standard)
DOG,MINI_BULL_TERRIER,Minature Bull Terrier
DOG,MINIATURE_DACHSHUND,Miniature Dachshund
DOG,MINIATURE_PINSCHER,Miniature Pinscher
DOG,MINIATURE_POODLE,Miniature Poodle
DOG,MINIATURE_SCHNAUZER,Miniature Schnauzer
DOG,MINIATURE_SHELTIE,Miniature Sheltie
DOG,ZZA_DOG_MIXED,Mixed Dog
DOG,MONGREL_DOG,Mongrel Dog
DOG,MUNSTERLANDER,Munsterlander
DOG,NEAPOLITAN_MASTIFF,Neapolitan Mastiff
DOG,NEOPOLITAN_MASTIFF,Neopolitan Mastiff
DOG,NEWFOUNDLAND,Newfoundland
DOG,NORBOTTON_SPITZ,Norbotton Spitz
DOG,NORFOLK_TERRIER,Norfolk Terrier
DOG,NORTHERN_INUIT_HUSKY,Northern Inuit Husky
DOG,NORWEGIAN_BUHUND,Norwegian Buhund
DOG,NORWEGIAN_ELKHOUND,Norwegian Elkhound
DOG,NORWICH_TERRIER,Norwich Terrier
DOG,NOVO_SCOTIA_DUCK_RETREIVER,Novo Scotia Duck Tolling Retriever
DOG,OLD_ENGLISH_SHEEPDOG,Old English Sheepdog
DOG,OLD_SPANISH_POINTER,Old Spanish Pointer (Pachon Navarro)
DOG,OTTERHOUND,Otterhound
DOG,PAPILLON,Papillon
DOG,PARSON_RUSSELL_TERRIER,Parson Russell Terrier
DOG,PASTOR_DE_BRIE,Pastor de Brie
DOG,PATTERDALE-TERRIER,Patterdale Terrier
DOG,PEKINGESE,Pekingese
DOG,PEMBROKE_WELSH_CORGI,Pembroke Welsh Corgi
DOG,PERUVIAN-HAIRLESS-DOG,Peruvian Hairless dog
DOG,PHALENE,Phalene
DOG,PHAROAH_HOUND,Pharaoh Hound
DOG,PINSCHER,Pinscher
DOG,PIT-BULL-TERRIER,Pit Bull Terrier
DOG,PODENCO,Podenco
DOG,PODENCO_CARNARY_ISLANDS_HOUND,Podenco Canary Islands Hound
DOG,PODENCO_CANARIA,Podenco Cararia
DOG,PODENCO_CANARIAN_WARREN_HOUND,Podenco Cararian Warren Hound
DOG,POINTER,Pointer
DOG,POINTING_WIREHAIRED_GRIFFON,Pointng Wirehaired Griffon
DOG,POLISH_SHEEPDOG,Polish Lowland Sheepdog
DOG,POMERANIAN,Pomeranian
DOG,POODLE,Poodle
DOG,POODLE_CROSS,Poodle Cross
DOG,PORTUGUESE_WARREN_HOUND,Portuguese Warren Hound (Portuguese Podengo)
DOG,PORTUGUESE_WATER_DOG,Portuguese Water Dog
DOG,PUG,Pug
DOG,PULI,Puli
DOG,PUMI,Pumi
DOG,PYRENEAN_MASTIFF,Pyrenean Mastiff
DOG,PYRENEAN_MOUNTAIN_DOG,Pyrenean Mountain Dog
DOG,PYRENEAN_SHEEP,Pyrenean Sheep Dog
DOG,RATONERO_BODEGUERO_ANDALUZ,Ratonero Bodeguero Andaluz
DOG,RED-SETTER,Red Setter
DOG,RETRIEVER,Retriever
DOG,RHODESIAN_RIDGEBACK,Rhodesian Ridgeback
DOG,ROTTWEILER,Rottweiler
DOG,ROUGH_COLLIE,Rough Collie (Standard Rough Collie)
DOG,RUSSIAN_BLACK_TERRIER,Russian Black Terrier
DOG,SALUKI,Saluki
DOG,SAMOYED,Samoyed
DOG,SCHILLER_HOUND,Schiller Hound
DOG,SCHIPPERKE,Schipperke
DOG,SCHNAUZER,Schnauzer
DOG,SCOTTISH_TERRIER,Scottish Terrier
DOG,SEALYHAM_TERRIER,Sealyham Terrier
DOG,SHAR_PEI,Shar Pei
DOG,SHETLAND_SHEEPDOG,Shetland Sheepdog
DOG,SHIBA_INU,Shiba Inu
DOG,SHIH_TZU,Shih Tzu
DOG,SHILOH_SHEPHERD_DOG,Shiloh Shepherd Dog
DOG,SIBERIAN_HUSKY,Siberian Husky
DOG,SILKEN_WINDHOUND,Silken Windhound (Sighthound)
DOG,SILKY_TERRIER,Silky Terrier
DOG,SKYE_TERRIER,Skye Terrier
DOG,SLOUGHI,Sloughi
DOG,SLOVAKIAN_KUVASZ,Slovakian Kuvasz
DOG,SLOVAKIAN_ROUGH_HIRED_POINTER,Slovakian Rough Hired Pointer
DOG,SMALANDS_HOUND,Smalands Hound
DOG,SMALL_GERMAN_SPITZ,Small German Spitz
DOG,SMALL_MUNSTERLANDER,Small Munsterlander
DOG,SMOOTH_COLLIE,Smooth Collie
DOG,SMOOTH_FOX_TERRIER,Smooth Fox Terrier
DOG,SOFT_COATED_WHEATEN_TERRIER,Soft-coated Wheaten Terrier
DOG,SOUTH_AFRICAN_BOERBOEL,"South African Boerboel (Mastiff, Molosser Breed)"
DOG,SPANIEL,Spaniel
DOG,SPANIEL_CROSS,Spaniel Cross
DOG,SPANISH_WATER_DOG,Spanish Water Dog
DOG,SPITZ,Spitz
DOG,SPRINGER-SPANIEL,Springer Spaniel
DOG,ST_BERNARD,St Bernard
DOG,STABYHOUN,Stabyhoun
DOG,STABYHOUND,Stabyhound
DOG,STAFFORDSHIRE_BULL_TERRIER,Staffordshire Bull Terrier
DOG,STANDARD_DACHSHUND,Standard Dachshund
DOG,STANDARD_POODLE,Standard Poodle
DOG,STANDARD_SCHNAUZER,Standard Schnauzer
DOG,SUSSEX_SPANIEL,Sussex Spaniel
DOG,SWEDISH_ELKHOUND,Swedish Elkhound
DOG,SWEDISH_VALLHUND,Swedish Vallhund
DOG,SWISS_HUNTING_DOG,Swiss Hunting Dog
DOG,SWISS_HUNTING_DOGS,Swiss Hunting Dogs
DOG,DACHSHUND_TECKEL,Teckel Dachshund
DOG,TERRIER,Terrier
DOG,TERRIER_CROSS,Terrier Cross
DOG,TIBETAN_MASTIFF,Tibetan Mastiff
DOG,TIBETAN_SPANIEL,Tibetan Spaniel
DOG,TIBETAN_TERRIER,Tibetan Terrier
DOG,TOY_POODLE,Toy Poodle
DOG,TRAILHOUND,Trailhound
DOG,ZZB_DOG_UNLIST,Unlisted Dog
DOG,ZZC_DOG_UNSPECIFIED,Unspec.Dog
DOG,VISZLA,Viszla
DOG,WACHTELHUND,Wachtelhund
DOG,WEIMARANER,Weimaraner
DOG,WELSH-BORDER-COLLIE,Welsh Border Collie
DOG,WELSH_CORGI_CARDIGAN,Welsh Corgi ( Cardigan)
DOG,WELSH_CORGI_PEMBROKE,Welsh Corgi (Pembroke)
DOG,WELSH_SPRINGER_SPANIEL,Welsh Springer Spaniel
DOG,WELSH_TERRIER,Welsh Terrier
DOG,WEST_HIGHLAND_WHITE_TERRIER,West Highland White Terrier
DOG,WETTERHOUN,Wetterhoun
DOG,WETTERHOUND,Wetterhound
DOG,WHEATEN_TERRIER,Wheaten Terrier
DOG,WHEATON_TERRIER,Wheaton Terrier
DOG,WHIPPET,Whippet
DOG,WIRE_FOX_TERRIER,Wire Fox Terrier
DOG,WIRE_HAIRED_POINTER,Wire Haired Pointer
DOG,YORKSHIRE_TERRIER,Yorkshire Terrier
DOLPHIN,BOTTLE_NOSED_DOLPHIN,Bottle-nosed Dolphin
DOLPHIN,COMMON_DOLPHIN,Common Dolphin
DOLPHIN,EUPHROSYNE_DOLPHIN,Euphrosyne Dolphin
DOLPHIN,RISSOS_DOLPHIN,Rissos Dolphin
DOLPHIN,STRIPED_DOLPHIN,Striped Dolphin
DOLPHIN,WHITE_BEAKED_DOLPHIN,White Beaked Dolphin
DOLPHIN,WHITE_SIDED_DOLPHIN,White-Sided Dolphin
DONKEY,DWARF_DONKEY,Dwarf Donkey
DONKEY,ZZA_EQ_DONKEY_MIXED,Mixed Donkey
DONKEY,POITOU_DONKEY,Poitou Donkey
DONKEY,ZZB_EQ_DONKEY_UNLIST,Unlisted Donkey
DONKEY,ZZC_EQ_DONKEY_UNSPECIFIED,Unspec.Donkey
DORMOUSE,DORMOUSE,Dormouse
DORMOUSE,EDIBLE_DORMOUSE,Edible Dormouse
DOTTEREL,DOTTEREL,Dotterel
DOVE,BLEEDING_HEART_DOVE,Bleeding Heart Dove
DOVE,CAPE_DOVE_PIGEON,Cape Dove Pigeon
DOVE,EMERALD_DOVE,Emerald Dove
DOVE,FANTAIL_DOVE,Fantail Dove
DOVE,ZZA_DOVE_MIXED,Mixed Dove
DOVE,SOCORRO-DOVE,Socorro Dove
DOVE,STOCK_DOVE,Stock Dove
DOVE,TURTLE_DOVE,Turtle Dove
DOVE,ZZB_DOVE_UNLIST,Unlisted Dove
DOVE,ZZC_DOVE_UNSPECIFIED,Unspec.Dove
DUCK,AUSTRALIAN_SHELDUCK,Auatralian Shelduck
DUCK,AYLESBURY_DUCK,Aylesbury Duck
DUCK,BAHAMA_PINTAIL,Bahama Pintail
DUCK,BROWN_DUCK,Brown Duck
DUCK,CALL_DUCK,Call Duck
DUCK,CAPE_TEAL,Cape Teal
DUCK,CAROLINA_DUCK,Carolina Duck
DUCK,CHESTNUT_TEAL,Chestnut Teal
DUCK,CHILOE_WIGEON,Chiloe Wigeon
DUCK,CINNAMON_TEAL,Cinnamon Teal
DUCK,COLLARED_DUCK,Collared Duck
DUCK,COMB_DUCK,Comb (Knob-billed) Duck
DUCK,COMMON_SCOTER,Common Scoter
DUCK,DOMESTIC_DUCK,Domestic Duck
DUCK,EIDER,Eider
DUCK,WIGEON,Eurasian Wigeon
DUCK,GADWALL,Gadwall
DUCK,GARGANEY,Garganey
DUCK,GOLDENEYE,Goldeneye
DUCK,GOOSANDER,Goosander
DUCK,HOODED_MERGANSER,Hooded Merganser
DUCK,INDIAN_RUNNER_DUCK,Indian Runner Duck
DUCK,INDIAN_WHISTLING_DUCK,Indian Whistling Duck
DUCK,LONG-TAILED_DUCK,Long-tailed Duck
DUCK,MALLARD_DUCK,Mallard Duck
DUCK,MANDARIN_DUCK,Mandarin Duck
DUCK,MELLERS_DUCK,Mellers Duck
DUCK,ZZA_DUCK_MIXED,Mixed Duck
DUCK,MULE_DUCK,Mule Duck
DUCK,MUSCOVY_DUCK,Muscovy Duck
DUCK,NORTH_PINTAIL_DUCK,Northern Pintail Duck
DUCK,SHOVELER,Northern Shoveler
DUCK,PACIFIC_BLACK_DUCK,Pacific Black Duck
DUCK,PEKIN_DUCK,Pekin Duck
DUCK,PINK_EARED_DUCK,Pink Eared Duck
DUCK,PINTAIL,Pintail
DUCK,POCHARD_DUCK,Pochard Duck
DUCK,RED_BILL_TREE_DUCK,Red Bill Tree Duck
DUCK,RED-BREASTED_MERGANSER,Red-breasted Merganser
DUCK,RINGED_TEAL,Ringed Teal
DUCK,ROSY_BILLED_POCHARD,Rosy-billed Pochard
DUCK,RUDDY_DUCK,Ruddy Duck
DUCK,SCAUP,Scaup
DUCK,SHELDUCK_DUCK,Shelduck Duck
DUCK,SILVER_TEAL,Silver Teal
DUCK,SMEW,Smew
DUCK,SORGANI_TEAL_DUCK,Sorgani Teal Duck
DUCK,SPOTTED_TREE_DUCK,Spotted Tree Duck
DUCK,TEAL,Teal
DUCK,TUFTED_DUCK,Tufted Duck
DUCK,ZZB_DUCK_UNLIST,Unlisted Duck
DUCK,ZZC_DUCK_UNSPECIFIED,Unspec.Duck
DUCK,VELVET_SCOTER,Velvet Scoter
DUCK,WANDERING_WHISTLING_DUCK,Wandering Whistling Duck
DUCK,WEST_INDIAN_WHISTLING_DUCK,West Indian Whistling Duck
DUCK,WHITE_DUCK,White Duck
DUCK,WHITE_STIFFTAIL_DUCK,White Stifftail Duck
DUCK,WHITE_WINGED_WOOD_DUCK,White Winged Wood Duck
DUCK,WHITE_FACED_WHISTLING_DUCK,White-faced Whistling Duck
DUNLIN,DUNLIN,Dunlin
DUNNOCK,DUNNOCK,Dunnock
EAGLE,AFRICAN_BLACK_EAGLE,African Black Eagle (Verreaux's Eagle)
EAGLE,AFRICAN_HAWK_EAGLE,African Hawk Eagle
EAGLE,BLACK_EAGLE,bLACK Eagle
EAGLE,BONELLI,Bonelli
EAGLE,CROWNED_EAGLE,Crowned Eagle
EAGLE,GOLDEN_EAGLE,Golden Eagle
EAGLE,GREAT_BUZZARD_EAGLE,Great Buzzard Eagle (Black Chested Buzzard Eagle)
EAGLE,GREY_BUZZARD,Grey Buzzard
EAGLE,MARTIAL_EAGLE,Martial Eagle
EAGLE,ZZA_EAGLE_MIXED,Mixed Eagle
EAGLE,OSPREY,Osprey
EAGLE,SEA_EAGLE,Sea Eagle
EAGLE,TAWNY_EAGLE,Tawny Eagle
EAGLE,ZZB_EAGLE_UNLIST,Unlisted Eagle
EAGLE,ZZC_EAGLE_UNSPECIFIED,Unspec.Eagle
EGRET,CATTLE_EGRET,Cattle Egret
EGRET,LITTLE_EGRET,Little Egret
ELEPHANT,ELEPHANT,Elephant
EMU,EMU,Emu
ENVIRONMENTAL_ABBATTOIR,ENVIRONMENTAL_ABATT,Environmental Abbattoir
ENVIRONMENTAL_FARM,ENVIRONMENTAL_FARM,Environmental Farm
ENVIRONMENTAL_OTHER,ENVIRONMENTAL_OTHER,Environmental Other
FALCON,APLOMADO_FALCON,Aplomado Falcon
FALCON,GYR_FALCON,Gyr Falcon
FALCON,HOBBY,Hobby
FALCON,HYBRID_FALCON,Hybrid Falcon
FALCON,KESTREL,Kestrel
FALCON,LANNER_FALCON,Lanner Falcon
FALCON,LITTLE_FALCON,Little Falcon
FALCON,MERLIN,Merlin
FALCON,ZZA_FALCON_MIXED,Mixed Falcon
FALCON,NEW_ZEALAND_FALCON,New Zealand Falcon
FALCON,PEREGRINE,Peregrine
FALCON,RED_NAPED_SHAHEEN_FALCON,Red Naped Shaheen Falcon
FALCON,SAKER_FALCON,Saker Falcon
FALCON,ZZB_FALCON_UNLIST,Unlisted Falcon
FALCON,ZZC_FALCON_UNSPECIFIED,Unspec.Falcon
FERRET,FERAL_FERRET,Feral Ferret
FINCH,AUSTRALIAN_FINCH,Australian Finch
FINCH,BENGALESE_FINCH,Bengalese Finch
FINCH,BRAMBLING,Brambling
FINCH,BULLFINCH_FINCH,Bullfinch Finch
FINCH,CARDINAL_FINCH,Cardinal Finch
FINCH,CHAFFINCH_FINCH,Chaffinch Finch
FINCH,CHESTNUT_BREASTED_MANNIKIN,Chestnut-Breasted Mannikin
FINCH,CORDON_BLEU_FINCH,Cordon Bleu Finch
FINCH,CUT_THROAT_FINCH,Cut Throat Finch
FINCH,DOLPHIN_FINCH,Dolphin Finch
FINCH,EXOTIC_FINCH,Exotic Finch
FINCH,GOLDFINCH,Goldfinch
FINCH,GOULDIAN_FINCH,Gouldian Finch
FINCH,GREENFINCH_FINCH,Greenfinch Finch
FINCH,GRENADIER_WAXBILL_FINCH,Grenadier Waxbill Finch
FINCH,HAWFINCH,Hawfinch
FINCH,JAVA_SPARROW_FINCH,Java Sparrow Finch
FINCH,LAVENDER_FINCH,Lavender Finch
FINCH,ZZA_FINCH_MIXED,Mixed Finch
FINCH,MUNIA_FINCH,Munia Finch
FINCH,OTHER_FINCH,Other Finch
FINCH,PAINTED_FIRETAIL_FINCH,Painted Firetail Finch
FINCH,PARADISE_WHYDAH_FINCH,Paradise Whydah Finch
FINCH,PEALE_PARROT_FINCH,Peale Parrot Finch
FINCH,PIN_TAILED_PARROT_FINCH,Pin-tailed Parrot Finch
FINCH,PIN_TAILED_WHYDAH_FINCH,Pin-tailed Whydah Finch
FINCH,RED_EARED_FINCH,Red Eared Finch
FINCH,RED_CHEEKED_WAXBILL_FINCH,Red-cheeked Waxbill Finch
FINCH,SISKIN_FINCH,Siskin Finch
FINCH,SPARROW_FINCH,Sparrow Finch
FINCH,SPICE_FINCH,Spice Finch
FINCH,STAR_FINCH,Star Finch
FINCH,ZZB_FINCH_UNLIST,Unlisted Finch
FINCH,ZZC_FINCH_UNSPECIFIED,Unspec.Finch
FINCH,WAXBILL_FINCH,Waxbill Finch
FINCH,WHITE_HEADED_FINCH,White Headed Finch
FINCH,ZEBRA_FINCH,Zebra Finch
FISH,ALLIS_SHAD_AND_TWAITE_SHAD,Allis Shad and Twaite Shad
FISH,AMERICAN_BROOK_TROUT,American Brooke Trout
FISH,AMERICAN_CATFISH,American Catfish
FISH,AMERICAN_MUD-MINNOW,American Mud-Minnow
FISH,ATLANTIC_SALMON,Antlantic Salmon
FISH,ASP,Asp
FISH,BARBEL,Barbel
FISH,BASS,Bass
FISH,BITTERLING,Bitterling
FISH,BLACK_MOLLY_FISH,Black Molly Fish
FISH,BLEAK,Bleak
FISH,BROOK_LAMPREY,Brook Lamprey
FISH,BURBOT,Burbot
FISH,CARP,Carp
FISH,CHAR,Char
FISH,CHUB,Chub
FISH,COMMON_BREAM,Common Bream
FISH,CRUCIAN_CARP,Crucian Carp
FISH,DACE,Dace
FISH,EEL,Eel
FISH,FLOUNDER,Flounder
FISH,GOLDFISH,Goldfish
FISH,GRAYLING,Grayling
FISH,GUDGEON,Gudgeon
FISH,HOUTING,Houting
FISH,IDE,Ide
FISH,LAMPERN_OR_RIVER_LAMPREY,Lampern or River Lamprey
FISH,MINNOW,Minnow
FISH,ZZA_FISH_MIXED,Mixed Fish
FISH,MOTHERLESS_MINNOW,Motherless Minnow
FISH,NASE,Nase
FISH,PERCH,Perch
FISH,PIKE,Pike
FISH,POND_LOACH,Pond Loach
FISH,POWAN,Powan
FISH,RAINBOW_TROUT,Rainbow Trout
FISH,ROACH,Roach
FISH,RUDD,Rudd
FISH,RUFFE_OR_POPE,Ruffe or Pope
FISH,SALMON,Salmon
FISH,SEA_LAMPREY,Sea Lamprey
FISH,SMELT,Smelt
FISH,SOUFIE,Soufie
FISH,SPINED_LOACH,Spined Loach
FISH,STONE_LOACH,Stone Loach
FISH,STURGEON,Sturgeon
FISH,TENCH,Tench
FISH,TEN-SPINED_STICKLEBACK,Ten-Spined Stickleback
FISH,THREE-SPINED_STICKLEBACK,Three-Spine Stickleback
FISH,TROUT,Trout
FISH,ZZB_FISH_UNLIST,Unlisted Fish
FISH,ZZC_FISH_UNSPECIFIED,Unspec.Fish
FISH,VENDACE,Vendace
FISH,WELS_OR_GIANT_CATFISH,Wels or Giant Catfish
FISH,WHITE_OR_SILVER_BREAM,White or Silver Bream
FISH,WHITEFISH,Whitefish
FISH,ZAEHRTE,Zaehrte
FISH,ZANDER_OR_PIKE-PERCH,Zander or Pike-Pearch
FLAMINGO,CARIBBEAN_FLAMINGO,Caribbean Flamingo
FLAMINGO,CUBAN_FLAMINGO,Cuban Flamingo
FLAMINGO,FLAMINGO,Flamingo
FLAMINGO,GREATER_FLAMINGO,Greater Flamingo
FLYCATCHER,ZZA_FLYCATCHER_MIXED,Mixed Flycatcher
FLYCATCHER,PIED_FLYCATCHER,Pied Flycatcher
FLYCATCHER,SPOTTED_FLYCATCHER,Spotted Flycatcher
FLYCATCHER,ZZB_FLYCATCHER_UNLIST,Unlisted Flycatcher
FLYCATCHER,ZZC_FLYCATCHER_UNSPECIFIED,Unspec.Flycatcher
FOX,FOX,Fox
FRANCOLIN,BLACK_FRANCOLIN,Black Francolin
FRANCOLIN,ZZC_FRANCOLIN_UNSPECIFIED,Unspec.Francolin
FROG,COMMON_FROG,Common Frog
FROG,EDIBLE_FROG,Edible Frog
FROG,EUROPEAN_TREE_FROG,European Tree Frog
FROG,MARSH_FROG,Marsh Frog
FROG,OTHER_FROG,Other Frog
FROG,POOL_FROG,Pool Frog
FULMAR,FULMAR,Fulmar
GANNET,GANNET,Gannet
GIRAFFE,GIRAFFE,Giraffe
GOAT,ANGORA_GOAT,Angora Goat
GOAT,APPENZELL_GOAT,Appenzell Goat
GOAT,BENDEN_STRIPED_GOAT,Benden Striped Goat
GOAT,BLACK_WELSH_MOUNTAIN_GOAT,Black Welsh Mountain Goat
GOAT,BOER_MEAT_GOAT,Boer Meat Goat
GOAT,CASHMERE,Cashmere Goat
GOAT,CHAMOIS_COLOURED_MOUNTAIN_GOAT,Chamois Coloured Mountain Goat
GOAT,COLOURED_GERMAN_IMPROVED_GOAT,Coloured German Improved Goat
GOAT,DORSET_HORN_GOAT,Dorset Horn Goat
GOAT,DUTCH_SPOTTED_GOAT,Dutch Spotted Goat
GOAT,EAST_AFRICAN_DWARF_GOAT,East African Dwarf Goat
GOAT,EXMOOR_HORN_GOAT,Exmoor Horn Goat
GOAT,FERAL_GOAT,Feral Goat
GOAT,GALL_SOMALI_GOAT,Gall Somali Goat
GOAT,GOLDEN_GUERNSEY_GOAT,Golden Guernsey Goat
GOAT,ZZA_GOAT_MIXED,Mixed Goat
GOAT,NERA_VERZASCA_GOAT,Nera Verzasca Goat
GOAT,NUBIAN_GOAT,Nubian Goat
GOAT,OTHER_GOAT,Other Goat
GOAT,PEACOCK_GOAT,Peacock Goat
GOAT,PYGMY_GOAT,Pygmy Goat
GOAT,SAANEN_GOAT,Saanen Goat
GOAT,THURINGIAN_FOREST_GOAT,Thuringian Forest Goat
GOAT,TOGGENBURG_GOAT,Toggenburg Goat
GOAT,ZZB_GOAT_UNLIST,Unlisted Goat
GOAT,ZZC_GOAT_UNSPECIFIED,Unspec.Goat
GOAT,VALAIS_BLACK_NECKED_GOAT,Valais Black Necked Goat
GOAT,WEST_AFRICAN_DWARF_GOAT,West African Dwarf Goat
GOAT,WHITE_GERMAN_IMPROVED_GOAT,White German Improved Goat
GODWIT,BAR-TAILED_GODWIT,Bar-tailed Godwit
GODWIT,BLACK-TAILED_GODWIT,Black-tailed Godwit
GODWIT,ZZA_GODWIT_MIXED,Mixed Godwit
GODWIT,ZZB_GODWIT_UNLIST,Unlisted Godwit
GODWIT,ZZC_GODWIT_UNSPECIFIED,Unspec.Godwit
GOOSE,ANDEAN_GOOSE,Andean Goose
GOOSE,ASHY_HEADED_GOOSE,Ashy-Headed Goose
GOOSE,BAR_HEADED_GOOSE,Bar-headed Goose
GOOSE,BARNACLE_GOOSE,Barnacle Goose
GOOSE,BEAN_GOOSE,Bean Goose
GOOSE,BRENT_GOOSE,Brent Goose
GOOSE,CANADA_GOOSE,Canada Goose
GOOSE,DOMESTIC_GOOSE,Domestic Goose
GOOSE,EGYPTIAN_GOOSE,Egyptian Goose
GOOSE,EMPEROR_GOOSE,Emperor Goose
